"t","toy","p","Ws1","Wd1","T1","Ws2","Wd2","T2","Ws3","Wd3","T3"
1999-01-01 03:00:00,0.125,1.267,4.9,135,275.8,4.9,135,275.8,4.9,135,275.8
1999-01-01 04:00:00,0.167,1.515,5,126.9,275.8,5,126.9,275.8,5,126.9,275.8
1999-01-01 05:00:00,0.208,1.915,5.9,135.7,275.5,5.9,135.7,275.5,5.9,135.7,275.5
1999-01-01 06:00:00,0.25,1.613,5.3,146.6,275,5.3,146.6,275,5.3,146.6,275
1999-01-01 07:00:00,0.292,1.776,6.1,117.4,274.5,5.9,130.2,274.8,5.9,130.2,274.8
1999-01-01 08:00:00,0.333,1.998,7.6,133.4,273.9,7.6,133.4,273.9,7.3,142.8,274
1999-01-01 09:00:00,0.375,1.845,8.2,135,274.5,8.2,135,274.5,8.2,135,274.5
1999-01-01 10:00:00,0.417,0.964,9,144.9,274.1,9,144.9,274.1,9,144.9,274.1
1999-01-01 11:00:00,0.458,0.646,8.7,154,273.9,8.7,154,273.9,8.7,154,273.9
1999-01-01 12:00:00,0.5,2.76,7.5,156.5,274.4,7.5,156.5,274.4,7.5,156.5,274.4
1999-01-01 13:00:00,0.542,1.841,5.3,157.8,274.8,6.6,166,274.7,6.6,166,274.7
1999-01-01 14:00:00,0.583,1.559,6.6,129.5,274.9,6.6,129.5,274.9,6.6,136.8,274.9
1999-01-01 15:00:00,0.625,1.011,7.3,146.7,274.7,7.3,146.7,274.7,7.3,146.7,274.7
1999-01-01 16:00:00,0.667,2.696,7.7,150.4,274.5,7.7,150.4,274.5,7.7,150.4,274.5
1999-01-01 17:00:00,0.708,3.021,9.6,138,274.4,9.6,138,274.4,9.6,138,274.4
1999-01-01 18:00:00,0.75,1.873,10,150.6,274.2,10,150.6,274.2,10,150.6,274.2
1999-01-01 19:00:00,0.792,4.618,9.9,141.2,274.3,10.3,148.5,274,10.3,148.5,274
1999-01-01 20:00:00,0.833,5.119,9.2,152,274.1,9.2,152,274.1,8.8,162.2,273.9
1999-01-01 21:00:00,0.875,2.328,9.5,148.3,274,9.5,148.3,274,9.5,148.3,274
1999-01-01 22:00:00,0.917,1.492,9.8,154.7,274,9.8,154.7,274,9.8,154.7,274
1999-01-01 23:00:00,0.958,4.131,8.7,160.5,273.9,8.7,160.5,273.9,8.7,160.5,273.9
1999-01-02 00:00:00,1,7.611,9.1,164,273.9,9.1,164,273.9,9.1,164,273.9
1999-01-02 01:00:00,1.042,8.331,7.5,163.7,273.8,8.3,176.6,273.9,8.3,176.6,273.9
1999-01-02 02:00:00,1.083,9.264,8.1,153.7,273.6,8.1,153.7,273.6,8.4,167,273.8
1999-01-02 03:00:00,1.125,8.152,9,154.3,273.5,9,154.3,273.5,9,154.3,273.5
1999-01-02 04:00:00,1.167,7.77,9,157.1,273.6,9,157.1,273.6,9,157.1,273.6
1999-01-02 05:00:00,1.208,6.836,8.9,156,273.6,8.9,156,273.6,8.9,156,273.6
1999-01-02 06:00:00,1.25,4.613,8.5,162.8,273.6,8.5,162.8,273.6,8.5,162.8,273.6
1999-01-02 07:00:00,1.292,6.764,8.9,161.6,273.4,8.9,167.7,273.6,8.9,167.7,273.6
1999-01-02 08:00:00,1.333,5.838,9.3,154.5,273.6,9.3,154.5,273.6,9.3,159.8,273.8
1999-01-02 09:00:00,1.375,5.807,9.3,157.9,273.6,9.3,157.9,273.6,9.3,157.9,273.6
1999-01-02 10:00:00,1.417,4.149,9.8,161.6,273.7,9.8,161.6,273.7,9.8,161.6,273.7
1999-01-02 11:00:00,1.458,3.694,9.8,159.7,273.9,9.8,159.7,273.9,9.8,159.7,273.9
1999-01-02 12:00:00,1.5,4.129,9.6,163.6,274,9.6,163.6,274,9.6,163.6,274
1999-01-02 13:00:00,1.542,4.674,9,158.6,274.3,9.6,163.1,274.2,9.6,163.1,274.2
1999-01-02 14:00:00,1.583,5.685,9.3,150.4,274.6,9.3,150.4,274.6,9.6,160.6,274.4
1999-01-02 15:00:00,1.625,5.405,9.8,156.6,274.7,9.8,156.6,274.7,9.8,156.6,274.7
1999-01-02 16:00:00,1.667,8.686,10.2,159.2,274.9,10.2,159.2,274.9,10.2,159.2,274.9
1999-01-02 17:00:00,1.708,8.268,11.2,158.5,275.2,11.2,158.5,275.2,11.2,158.5,275.2
1999-01-02 18:00:00,1.75,9.492,11.6,178,275.4,11.6,178,275.4,11.6,178,275.4
1999-01-02 19:00:00,1.792,11.388,9.9,175.4,275.7,11.3,179,275.9,11.3,179,275.9
1999-01-02 20:00:00,1.833,9.356,9.4,173.3,276,9.4,173.3,276,10.5,180.5,276.3
1999-01-02 21:00:00,1.875,9.359,9.1,170.5,276.1,9.1,170.5,276.1,9.1,170.5,276.1
1999-01-02 22:00:00,1.917,9.843,9.6,179.4,276.3,9.6,179.4,276.3,9.6,179.4,276.3
1999-01-02 23:00:00,1.958,10.655,9.4,188,276.8,9.4,188,276.8,9.4,188,276.8
1999-01-03 00:00:00,2,10.589,9.8,189.9,277.1,9.8,189.9,277.1,9.8,189.9,277.1
1999-01-03 01:00:00,2.042,11.536,9.2,187.5,277.8,9.2,190,277.1,9.2,190,277.1
1999-01-03 02:00:00,2.083,10.601,7.9,184.3,277.3,7.9,184.3,277.3,8.2,189.1,277
1999-01-03 03:00:00,2.125,9.368,8.1,183.5,277.2,8.1,183.5,277.2,8.1,183.5,277.2
1999-01-03 04:00:00,2.167,10.868,8.1,191.4,277.4,8.1,191.4,277.4,8.1,191.4,277.4
1999-01-03 05:00:00,2.208,8.505,8.4,188.2,277.2,8.4,188.2,277.2,8.4,188.2,277.2
1999-01-03 06:00:00,2.25,8.303,8.6,176,277,8.6,176,277,8.6,176,277
1999-01-03 07:00:00,2.292,9.87,8.7,169.5,277.1,8.6,174.7,277,8.6,174.7,277
1999-01-03 08:00:00,2.333,6.375,8.2,170.9,277,8.2,170.9,277,7.9,174.9,276.9
1999-01-03 09:00:00,2.375,5.474,8.4,175.2,276.8,8.4,175.2,276.8,8.4,175.2,276.8
1999-01-03 10:00:00,2.417,5.36,8.2,173.7,276.9,8.2,173.7,276.9,8.2,173.7,276.9
1999-01-03 11:00:00,2.458,4.852,7.9,181.5,276.8,7.9,181.5,276.8,7.9,181.5,276.8
1999-01-03 12:00:00,2.5,4.249,7.4,194.8,276.8,7.4,194.8,276.8,7.4,194.8,276.8
1999-01-03 13:00:00,2.542,4.686,5.8,174.1,276.8,6.9,185,276.7,6.9,185,276.7
1999-01-03 14:00:00,2.583,3.651,5.9,168.3,276.8,5.9,168.3,276.8,6.5,177.4,276.7
1999-01-03 15:00:00,2.625,1.601,5.6,176.9,276.5,5.6,176.9,276.5,5.6,176.9,276.5
1999-01-03 16:00:00,2.667,1.471,6.2,192,276.3,6.2,192,276.3,6.2,192,276.3
1999-01-03 17:00:00,2.708,2.191,6,181,276.2,6,181,276.2,6,181,276.2
1999-01-03 18:00:00,2.75,2.924,6,186.7,276,6,186.7,276,6,186.7,276
1999-01-03 19:00:00,2.792,2.895,5.3,193,276,5.2,194.6,276.1,5.2,194.6,276.1
1999-01-03 20:00:00,2.833,4.034,3.4,181.7,276,3.4,181.7,276,4.3,180,276.1
1999-01-03 21:00:00,2.875,6.252,5.8,197.2,275.9,5.8,197.2,275.9,5.8,197.2,275.9
1999-01-03 22:00:00,2.917,5.499,5.2,186.6,275.9,5.2,186.6,275.9,5.2,186.6,275.9
1999-01-03 23:00:00,2.958,5.901,6,198.4,275.9,6,198.4,275.9,6,198.4,275.9
1999-01-04 00:00:00,3,6.793,6,198.4,275.8,6,198.4,275.8,6,198.4,275.8
1999-01-04 01:00:00,3.042,4.268,7.4,187.8,276.1,6.7,193,275.7,6.7,193,275.7
1999-01-04 02:00:00,3.083,2.226,7.8,185.1,275.8,7.8,185.1,275.8,6.6,190.5,275.6
1999-01-04 03:00:00,3.125,4.794,8.2,199.3,275.4,8.2,199.3,275.4,8.2,199.3,275.4
1999-01-04 04:00:00,3.167,3.051,7.9,194.7,275.1,7.9,194.7,275.1,7.9,194.7,275.1
1999-01-04 05:00:00,3.208,4.552,8,189.3,274.7,8,189.3,274.7,8,189.3,274.7
1999-01-04 06:00:00,3.25,6.894,8.7,176.1,274.3,8.7,176.1,274.3,8.7,176.1,274.3
1999-01-04 07:00:00,3.292,9.511,8.5,176.6,274.8,8.9,172.9,274,8.9,172.9,274
1999-01-04 08:00:00,3.333,11.926,9.6,161.8,274.7,9.6,161.8,274.7,9.6,163.1,273.9
1999-01-04 09:00:00,3.375,13.23,11.2,155.3,274.8,11.2,155.3,274.8,11.2,155.3,274.8
